new_catalysts,best_predicted_activity,true_activity,Al/M,T,P,t,metal
Fc1ccc(C[N+]2=Cc3ccccc3[O][Hf-2]23([Cl])([Cl])[O]c2ccccc2C=[N+]3c2ccccc2)cc1,0.8550522077556268,1349.936209,6200,30,8,1,72
CC1=[N+](c2ccccc2)[Hf-2]2([Cl])([Cl])([O]CC1)[O]CCC(CCCc1ccccc1)=[N+]2c1ccccc1,0.8546725969799447,1342.874979,9400,30,10,1,72
Cc1cc2c(cc1Cc1ccccc1)C=[N+](c1ccccc1)[Hf-2]1([Cl])([Cl])([O]c3ccccc3C=[N+]1c1ccccc1)[O]2,0.85261585682053,1305.254325,9400,30,8,1,72
CC(C)c1cc(C[N+]2=Cc3ccccc3[O][Hf-2]23([Cl])([Cl])[O]c2ccccc2C=[N+]3c2ccccc2)cc(C(C)C)c1,0.8526041179929513,1305.042659,9400,30,8,1,72
CCCCC1=[N+](c2ccccc2)[Zr-2]2([Cl])([Cl])([O]CCC(C)=[N+]2c2ccccc2)[O]CC1,0.8515506067461873,1286.185593,9400,30,10,1,40
CCCCC1CC(C)=[N+](c2ccccc2)[Zr-2]2([Cl])([Cl])([O]CCC(C)=[N+]2c2ccccc2)[O]1,0.8510003805596554,1276.44552,9400,30,8,1,40
C[N+]1=Cc2ccccc2[O][Hf-2]12([Cl])([Cl])[O]c1ccccc1C=[N+]2Cc1cccc(F)c1,0.8493927809428026,1248.40841,6200,60,8,1,72
CC1=[N+](c2ccccc2)[Zr-2]2([Cl])([Cl])([O]CC1)[O]CCC(Cc1c(C)cc(C)cc1C)=[N+]2c1ccccc1,0.8489038996517484,1240.00489,9400,30,10,1,40
CC1=[N+](c2ccccc2)[Hf-2]2([Cl])([Cl])([O]CC1)[O]CCC(c1c(F)c(F)c(F)c(F)c1F)=[N+]2c1ccccc1,0.8487871875085315,1238.007071,6200,30,8,1,72
Cc1ccc2c(c1)C=[N+](c1ccccc1)[Hf-2]1([Cl])([Cl])([O]c3ccccc3C=[N+]1Cc1ccc(F)cc1)[O]2,0.848039236993824,1225.280218,6200,30,8,1,72
